,item_name,price,item_img,sub_title,info_img,seller,package_type,package_detail,sell_unit,weight,origin,allergy,warning,item_detail,category
0,[KF365] 양념 소불고기 1kg (냉장),"18,990","https://img-cf.kurly.com/cdn-cgi/image/quality=85,width=676/shop/data/goods/165304027922l0.jpg","100g당 가격: 1,899원",0,컬리,냉장 (종이포장),택배배송은 에코 포장이 스티로폼으로 대체됩니다.,1개,1Kg,상품설명/상세정보 참조,"- 쇠고기, 대두, 밀 함유
본 제품은 돼지고기, 닭고기, 우유, 계란, 새우, 토마토, 오징어, 조개류(굴,바지락,개량조개)를 사용한 제품과 같은 제조시설에서 제조하고 있습니다.",수령일 포함 최소 3일 남은 제품을 보내 드립니다.,"합리적으로 즐기는 온 가족 반찬
[KF365] 양념 소불고기
호불호 없는 메인 요리를 꼽자면 양념 소불고기가 빠지지 않을 거예요. 달짝지근한 양념이 고루 밴 야들한 소불고기는 온 가족 밥반찬으로 딱 좋은 식재료인데요. 컬리는 맛 좋은 소불고기를 부담 없이 즐길 수 있도록 넉넉한 1kg 대용량으로 준비했어요. 육가공 전문 브랜드, 견우푸드와 손 잡고 질 좋은 소고기에 너무 짜거나 달지 않은 은근한 감칠맛을 입혀 완성했답니다. 냉장고에 구비해두고 마땅한 반찬이 떠오르지 않는 순간, 언제든지 꺼내 즐겨보세요. 명절 음식으로 활용하기에도 제격일 거에요.
Kurly's Check Point
Kurly’s Tip
보관법
・-2~10℃에서 냉장 보관하세요. 신선한 상태로 보내드리는 냉장육이므로, 수령 후 가급적 빠른 시일 내에 섭취하는 것이 좋습니다.",meat
1,[KF365] 1+등급 무항생제 특란 20구,"7,300","https://img-cf.kurly.com/cdn-cgi/image/quality=85,width=676/shop/data/goods/1637147626889l0.jpg",1구 당 판매가 : 365원,1,컬리,냉장 (종이포장),택배배송은 에코 포장이 스티로폼으로 대체됩니다.,1팩(20구),1200g,국내산,- 계란 함유,"출고일 기준, 산란일로부터 10일 이내 상품을 배송해드립니다.(총 유통기한 : 산란일로부터 30일)","넉넉히 즐기는 1+등급 특란
[KF365]
1+등급 특란 20구
매일 같이 식탁에 오르는 식재료인 만큼 믿고 살 수 있는 달걀을 찾고 있는 분이라면 KF365가 선보이는 1+등급 특란을 만나보세요. 1+, 1, 2, 3등급 계란의 품질을 나누는 네 가지의 등급 중에서 1+등급의 품질을 유지하기 위해 닭의 스트레스를 줄이는 사육 환경을 제공하고 사료를 관리하는 것은 물론, 닭의 주령까지 꼼꼼하게 관리하죠. 거기에 무항생제 인증까지 받은 달걀이니 믿고 선택하실 수 있을 거예요. 1+등급 특란 20구로 넉넉하게 즐겨보세요.
Kurly's Check Point
달걀, 꼼꼼하게 따져보세요
・닭이 자라는 환경은 어떤가요?
현재 케이지를 도입하고 있기 때문에 사육환경번호 4번에 해당합니다. 그러나 일반적으로 상상할 수 있는 케이지 농가가 아닌, 위생적이고 혁신적인 스마트팜이에요. 온도, 습도, 일조량, 계분 처리 등을 최첨단으로 관리하여 스트레스를 최소화하고 달걀의 안전도 지키고 있습니다.

・닭에게 무엇을 먹이나요?
유산균을 비롯한 비타민 E, 칼슘 등 영양성분이 뛰어난 사료를 맞춤형으로 제공해요. 항생제와 산란촉진제 등이 포함돼 있지 않은 사료를 급여해 무항생제 인증을 받았어요.

・세척한 달걀인가요?
달걀 껍질에 묻은 분뇨를 세척한 뒤 냉장으로 유통합니다.

・안전한 달걀인지 검사를 하나요?
주기적인 자가품질검사를 통해 농약, 항생제 등이 잔류하지 않는지 테스트하고 있어요.
Kurly’s Tip
산란일과 유통기한
・산란한지 10일 이내의 달걀을 보내드려요. 유통기한은 산란일자로부터 약 한 달간입니다. 단, 보관 상태에 따라 섭취 가능 기한은 달라질 수 있어요.
Kurly’s Note",meat
2,[브룩클린688] 호주산 목초육 치마살 구이용 300g (냉장),"11,625","https://img-cf.kurly.com/cdn-cgi/image/quality=85,width=676/shop/data/goods/165303917855l0.jpeg",100g 당 5166원,2,컬리,냉장 (종이포장),택배배송은 에코 포장이 스티로폼으로 대체됩니다.,1팩,300g,호주산,"- 소고기 함유
- 대두, 밀, 돼지고기, 우유, 토마토, 새우, 아황산류, 닭고기, 조개류(굴, 홍합, 전복), 오징어, 잣, 알류, 게, 복숭아, 땅콩, 호두, 고등어, 메밀과 동일 제조시설에서 제조",포장일로부터 최대 4일 이내 제품을 보내 드립니다.,"풍부한 육즙과 야들야들한 식감
[브룩클린688]
목초육 치마살
호주 멜버른 브룩클린에는 세계적인 육류가공업체인 JBS그룹의 육가공장, 688 가공장이 있습니다. 최첨단 처리 시설을 갖춘 이 공장에서 생산되는 브룩클린688을 만나보세요. 좋은 품질과 합리적인 가격을 자랑하는 브랜드이죠. 고깃결이 곱고 일정해 부드러운 식감을 느낄 수 있는 치마살을 만나보세요. 소금과 후추를 더해 가볍게 구워내는 것만으로 충분하답니다. 촉촉하게 배어 나오는 육즙과 야들야들한 질감이 식사의 만족도를 한층 끌어올려 줄 거예요.
Kurly's Check Point
Kurly’s Pick
목초육 치마살
・중량 : 1팩(300g)
・특징 : 소 양지 부위 중 소 뒷다리 쪽에 가까운 치마살만을 담았습니다. 쫀득하고 육즙이 많아요.
・보관법 : 수령 즉시 -2~10°C에서 냉장 보관하세요.
Kurly’s Note
About Brand
브룩클린(Brooklyn)688은 세계 최대 육류 가공기업인 JBS 그룹이 호주에 보유하고 있는 육가공장 중 하나입니다. 호주 남반구의 최대 상업지구 멜버른의 브룩클린에 자리하고 있는데요. 멜버른 항구와 7km 거리에 위치, 브룩클린688에서 생산한 육가공품을 전 세계로 수출하고 있습니다. 거대 육류 유통 기업인만큼 최첨단 처리 기술과 시스템을 갖추고 있고, 이를 바탕으로 양질의 고기를 생산합니다. 일관성 있는 품질과 맛은 브룩클린688이 약속하는 가치입니다.",meat
3,[Kurly's] 동물복지 유정란 20구,"9,290","https://img-cf.kurly.com/cdn-cgi/image/quality=85,width=676/shop/data/goods/1653036825212l0.jpeg",1구 당 판매가: 499.5원,3,컬리,냉장 (종이포장),택배배송은 에코 포장이 스티로폼으로 대체됩니다.,1팩,20구,국내산,-달걀 함유,"출고일 기준, 산란일로부터 10일 이내 상품을 배송해드립니다.(총 유통기한 : 산란일로부터 30일)","구매 전 참고사항
・본 상품의 판매원인 (주)컬리의 주소지 및 디자인이 일부 변경됩니다. 변경 과정에서 기존 상품이 배송될 수 있으나, 내용물은 동일함을 알려드립니다.

・‘농장 인증정보’는 상품의 전면부 유통기한 표시면에서 확인하실 수 있습니다.
전문가와 함께 꼼꼼하게 고른
[Kurly’s]
동물복지 유정란 20구
매일 먹는 달걀, 조금 더 꼼꼼히 골라볼까요. 양계 분야의 전문가로 손꼽히는 브랜드 조인과 컬리가 함께 기획한 동물복지 달걀입니다. 닭의 스트레스를 줄여주는 쾌적한 환경을 제공함은 물론, 항생제나 산란 촉진제는 일절 사용하지 않았어요. 까다로운 동물복지 인증과 무항생제 인증까지 모두 획득한 달걀이니 믿고 드셔도 좋습니다. 컬리가 고른 동물복지 유정란, 그 건강한 맛을 담아가 보세요.
Kurly's Check Point
Kurly’s Pick
동물복지 유정란 20구
・닭이 자라는 환경은 어떤가요?
사육환경번호 2번, 평사입니다. 동물복지 인증 기준을 충족하는 축사에서 닭들이 자유롭게 움직이며 자라요.
・닭에게 무엇을 먹이나요?
자체 배합한 곡물 사료를 먹입니다. 항생제와 산란촉진제 등이 포함돼 있지 않은 사료를 급여해 무항생제 인증을 받았어요.
・세척한 달걀인가요?
달걀 껍질에 묻은 분뇨 등을 세척한 뒤 냉장으로 유통합니다.
・안전한 달걀인지 검사를 하나요?
주기적인 자가품질검사를 통해 농약, 항생제 등이 잔류하지 않는지 테스트하고 있어요.
・산란일과 유통기한은?
산란한 지 10일 이내의 달걀을 보내드려요. 유통기한은 산란일자로부터 약 한 달간입니다. 단, 보관 상태에 따라 섭취 가능 기한은 달라질 수 있어요.
Kurly’s Note",meat
4,[KF365] 한돈 삼겹살 구이용 600g~ (냉장),"15,540","https://img-cf.kurly.com/cdn-cgi/image/quality=85,width=676/shop/data/goods/1637147561308l0.jpg","100g 당 판매가 : 2,590원",4,컬리,냉장 (종이포장),택배배송은 에코 포장이 스티로폼으로 대체됩니다.,1팩,"600g / 1,000g",국내산,"-돼지고기 함유
-이 제품은 알레르기 유발 성분(소고기)을 사용한 제품과 같은 제조시설에서 제조하고 있습니다.",수령일 포함 최소 5일 이상 남은 제품을 보내드립니다.,"미리 구비하는 인기 부위
[KF365]
한돈 삼겹살 구이용 2종
노릇하게 익힌 삼겹살은 언제 먹어도 만족스러운 음식이죠. 국내산 돼지고기의 삼겹살 부위를 구워 먹기 알맞은 두께로 준비했어요. 특유의 고소한 풍미는 물론이고, 야들한 식감까지 제대로 즐길 수 있지요. 두 가지 용량으로 준비했으니 필요에 맞게 선택해 보세요. 찌개 등의 요리에도 활용하기 좋답니다.
Kurly's Check Point
Kurly’s Pick
01~02. 한돈 삼겹살 구이용
・선택 가이드 : ①600g, ②1,000g 중 선택하세요.
・특징 : 국내산 삼겹살을 구이에 알맞은 두께로 정형한 상품이에요.
Kurly’s Tip
보관법
・냉장실에서 보관해 주세요.
Kurly’s Note",meat
5,[KF365] 1+ 한우 국거리 300g(냉장),"11,920","https://img-cf.kurly.com/cdn-cgi/image/quality=85,width=676/shop/data/goods/1645492554545l0.jpg","100g당 가격 : 4,967원",5,컬리,냉장 (종이포장),택배배송은 에코 포장이 스티로폼으로 대체됩니다.,1팩,300g,국내산 (한우),"소고기 함유
이 제품은 돼지고기를 사용한 제품과 같은 시설에서 제조하고 있습니다.","출고일 기준, 유통기한 만기 7일 이상 남은 상품을 보내드립니다. (총유통기한 : 15일)","바로 조리하는 간편 국거리
1+ 한우 국거리
매일 구비해두는 기본 식재료로 소고기를 빼놓을 수 없지요. 건강한 품질의 소고기를 부담 없이 만나보고 싶도록, KF365의 1+한우 국거리를 준비했답니다. 깊고 담백한 국물을 우려내기에 좋은 부위만을 사용한 상품이에요. 육질까지 탄탄해 오래 끓여도 쉽게 풀어지지 않는답니다. 바로 조리하기 알맞은 크기로 손질했으니 간편하게 사용해 보세요.
Kurly's Check Point
Kurly’s Tip
보관법
・냉장실에 보관해 주세요.
Kurly’s Note",meat
6,[Kurly's] 동물복지 백색 유정란 20구,"9,180","https://img-cf.kurly.com/cdn-cgi/image/quality=85,width=676/shop/data/goods/1653036887869l0.jpeg",1구 당 판매가: 510원,6,컬리,냉장 (종이포장),택배배송은 에코 포장이 스티로폼으로 대체됩니다.,1개,20구,국내산,"출고일 기준, 산란일로부터 10일 이내 상품을 배송해드립니다.(총 유통기한 : 산란일로부터 30일)","이력번호가 표시된 제품이며, 이력번호는 수령하시는 상품 패키지에서 확인 가능합니다.","구매 전 참고사항
・본 상품의 판매원인 (주)컬리의 주소지 및 디자인이 일부 변경됩니다. 변경 과정에서 기존 상품이 배송될 수 있으나, 내용물은 동일함을 알려드립니다.

・‘농장 인증정보’는 상품의 전면부 유통기한 표시면에서 확인하실 수 있습니다.
넉넉하게 즐기는 하얀 달걀
[Kurly’s]
동물복지 백색 유정란 20구
컬리가 고른 동물복지 유정란, 이번엔 백색란으로 만나보세요. 마음 놓고 넉넉하게 즐길 수 있는 컬리의 동물복지 백색 유정란 20구를 소개할게요. 양계 분야의 전문가로 손꼽히는 브랜드 조인과 컬리가 함께 기획한 동물복지 달걀입니다. 닭의 스트레스를 줄여주는 쾌적한 환경을 제공함은 물론, 항생제나 산란 촉진제는 일절 사용하지 않았어요. 까다로운 동물복지 인증과 무항생제 인증까지 모두 획득한 달걀이니 믿고 드셔도 좋습니다. 여기에 하얀 달걀이 주는 깨끗함까지 함께 담아가 보세요.
Kurly's Check Point
Kurly’s Pick
동물복지 백색 유정란 20구
・닭이 자라는 환경은 어떤가요?
사육환경번호 2번, 평사입니다. 동물복지 인증 기준을 충족하는 축사에서 닭들이 자유롭게 움직이며 자라요.
・닭에게 무엇을 먹이나요?
자체 배합한 곡물 사료를 먹입니다. 항생제와 산란촉진제 등이 포함돼 있지 않은 사료를 급여해 무항생제 인증을 받았어요.
・세척한 달걀인가요?
달걀 껍질에 묻은 분뇨를 세척한 뒤 냉장으로 유통합니다.
・안전한 달걀인지 검사를 하나요?
주기적인 자가품질검사를 통해 농약, 항생제 등이 잔류하지 않는지 테스트하고 있어요.
・산란일과 유통기한은?
산란한 지 10일 이내의 달걀을 보내드려요. 유통기한은 산란일자로부터 약 한 달간입니다. 단, 보관 상태에 따라 섭취 가능 기한은 달라질 수 있어요.
Kurly’s Note",meat
7,[태우한우] 1+ 한우 안심 구이용 200g (냉장),"39,000","https://product-image.kurly.com/cdn-cgi/image/quality=85,width=676/product/image/895ea429-0ff7-4c08-b384-6b223696fc88.jpg","100g당 가격 : 19,950원",7,컬리,냉장 (종이포장),택배배송은 에코 포장이 스티로폼으로 대체됩니다.,1팩,200g,국내산(한우),"- 소고기 함유
- 이 제품은 돼지고기를 사용한 제품과 같은 제조시설에서 제조하고 있습니다.",포장일로부터 최대 8일 이내 제품을 보내 드립니다.,"비단결처럼 곱고 부드러운 식감
[태우 한우] 한우 1+ 안심
텐더로인(Tenderloin)이라고 불리기도 하는 안심은 단어로도 짐작할 수 있듯, 고기의 식감이 얼마나 부드럽기에 붙여진 이름인 지 알 수 있죠. 복강 안쪽에 위치한다고 하여 안심이라고 불리며, 운동량이 많지 않아 소고기 중 가장 결이 곱고 부드럽다고 해요. 소 한 마리에서 겨우 2~3% 정도 밖에 얻을 수 없는 고급 부위이기 때문에 그대로 구워 먹었을 때 진가를 잘 알 수 있죠. 담백하고 고소한 풍미를 자랑하는 태우 한우의 한우 1+ 안심을 구이로 즐겨보세요.
Kurly's Check Point
스킨 팩으로 한 층 더 신선하게
해외여행을 가게 되면 마켓 구경을 빼놓을 수 없는데요. 영국의 고급 식료품점 '막스 앤 스펜서'를 비롯한 많은 해외 마켓의 정육 코너에서 제품 표면에 밀착시켜 포장한 깔끔하고 고급스러운 상품들을 보신 적이 있을 거예요. 사실은 근사해 보이도록 포장한 것이 아니라, 상품의 유통기한과 보관을 위해 실용성을 더한 포장 방식이죠.

이처럼 해외에서는 이미 스킨(Skin) 포장 방식이 많이 자리를 잡고 있어요. 피부처럼 제품 표면에 밀착시켰다고 하여 스킨 팩이라고 불리죠. 태우 한우는 냉동에만 가능했던 기존 방식을 냉장에 접목하고, 특수 공정을 추가해 제품의 열 손상 없이도 냉장 스킨이 가능한 기술을 보유하고 있어요. 이런 기술로 하여 최적의 맛과 품질은 물론이고, 감각적이고 트렌디한 패키지까지 탄생시키는 일석이조의 효과를 누리게 되었답니다.
안심하고 먹는 태우 한우 1+ 안심
모두가 신뢰하는 명품 한우를 지향하는 태우 한우는 농협 안심 한우를 원육으로 사용합니다. 농협 안심 한우는 농협 중앙회에서 관리하는 통합 브랜드로 일정 수준의 기준으로 수매하여, 안정적인 품질을 자랑해 믿고 먹을 수 있는 우리 한우죠. 또한, 음이온 램프로 제품의 균 번식을 억제하는 음이온 가공장 시설을 운영하기 때문에 더욱 안심하고 드실 수 있답니다. 입에서 사르르 녹는 연한 육질을 자랑하는 태우 한우의 한우 1+ 안심을 컬리에서 경험해보세요.
Kurly’s Tip
Kurly’s Note
About Brand
마장동에 위치한 태우 한우는 1988년 창업 이래로 30년간 축산에 집중해온 축산전문 기업이에요. 신선하고 품질 좋은 한우 생산을 위해 무엇보다 중요한 것은 철저한 위생관리와 품질관리라는 신념으로 사업을 꾸려나가고 있죠. HACCP 우수 업체로 기본에 충실한 생산과 음이온 가공장 시설을 운영하며 위생 관리에 엄격하게 신경 쓰고 있어요. 그 노력의 결과를 보여주기라도 하는 듯 500여 곳이 넘는 대형 고객사에게 신뢰를 얻고 함께하고 있으며, 맛과 품질은 물론이고 그 브랜드 가치를 인정받아 미식의 나라 싱가포르와 홍콩 등지에 해외 수출을 하며 우리나라 한우를 세계에 알리는 데 앞장서고 있습니다.",meat
8,[KF365] 오리지널 바베큐폭립 1kg(500gX2EA),"19,900","https://product-image.kurly.com/cdn-cgi/image/quality=85,width=676/product/image/b8c4673a-8e39-4dfc-9e3c-d2fd013e8cfa.jpg",온 가족이 즐기는 큼직한 바베큐 폭립!,8,컬리,냉동 (종이포장),택배배송은 에코 포장이 스티로폼으로 대체됩니다.,1kg(500g*2),상품설명/상세정보 참조,"- 돼지고기, 토마토, 대두, 쇠고기, 닭고기, 밀, 조개류(굴), 이산화항 함유
- 이 제품은 계란, 새우, 조개류(바지락, 개량조개)를 사용한 제품과 같은 제조시설에서 제조하고 있습니다.
- 본 포장재는 전자레인지용이 아니므로 전자레인지 조리시 전자레인지용 용기를 사용하시기 바랍니다.",수령일로 부터 155일 이상 남은 상품을 보내 드립니다.,"해당 상품은 냉동 제품입니다
 이미 냉동된 바 있으니 해동된 제품은 재냉동 시키지 마십시오.","에어프라이어로 더 바삭하게
[KF365]
오리지널 바베큐폭립
근사한 비주얼부터 쏙 발라먹는 재미까지, 폭립을 즐겨 찾는 분들이 많으실 텐데요. 컬리가 간편하게 조리할 수 있는 오리지널 바베큐 폭립을 준비했어요. 두툼한 살코기는 물론이고, 달콤 짭짤한 소스가 고루 배어 들어 맛있게 즐길 수 있답니다. 넉넉한 용량으로 담은 상품이니 손님 맞이를 위한 요리로도 준비해 보세요.
Kurly's Check Point
Kurly’s Pick
오리지널 바베큐폭립
・중량 : 1박스(1kg / 2팩입)
・특징 : 짭짤하게 양념한 폭립을 한 덩어리 씩 진공 포장했어요. 필요한 만큼 깔끔하게 사용할 수 있어 더욱 만족스럽답니다.
Kurly’s Tip
보관
・-18℃ 이하에서 냉동 보관해 주세요.
해동법
・조리 전 냉장실에 넣고 12~24시간 정도 충분히 해동해 주세요.
조리법
・전자레인지 조리법 : 해동한 내용물과 소스를 전자레인지 전용 용기에 담고 5분간 데워 드세요.
・오븐 조리법 : 해동한 내용물에 소스를 펴바른 후, 호일로 감싸 200℃에서 10분간 조리하세요. 호일을 벗기고 5분간 더 데워 주세요.
・바베큐 조리 : 해동한 내용물을 꺼내서 소스를 펴바른 후, 뒤집기를 반복하며 약 7분간 타지 않게 조리해 주세요.
・에어프라이어 조리 : 해동한 내용물을 에어프라이어에 넣고 200℃에서 앞뒤로 4분씩 조리해 주세요.",meat
9,[KF365] 1+등급 무항생제 대란 20구,"7,100","https://img-cf.kurly.com/cdn-cgi/image/quality=85,width=676/shop/data/goods/1646377916155l0.jpg",1구 당 판매가 : 355원,9,컬리,냉장 (종이포장),택배배송은 에코 포장이 스티로폼으로 대체됩니다.,1팩(20구),1040g,국내산,- 계란 함유,"출고일 기준, 산란일로부터 10일 이내 상품을 배송해드립니다.(총 유통기한 : 산란일로부터 30일)","부담 없이 누리는 신선한 달걀
[KF365] 1+등급
무항생제 대란 20구
매일 같이 식탁에 오르는 식재료인 만큼 믿고 살 수 있는 달걀을 찾고 있는 분이라면 KF365가 선보이는 1+등급 무항생제 대란을 만나보세요. 1+, 1, 2, 3등급 계란의 품질을 나누는 네 가지의 등급 중에서 1+등급의 품질을 유지하기 위해 닭의 스트레스를 줄이는 사육 환경을 제공하고 사료를 관리하는 것은 물론, 닭의 주령까지 꼼꼼하게 관리하죠. 거기에 무항생제 인증까지 받은 달걀이니 믿고 선택하실 수 있을 거예요. 20구 상품으로 준비했으니, 매일매일 신선하게 즐겨보세요.
Kurly's Check Point
달걀, 꼼꼼하게 따져보세요
・닭이 자라는 환경은 어떤가요?
현재 케이지를 도입하고 있기 때문에 사육환경번호 4번에 해당합니다. 그러나 일반적으로 상상할 수 있는 케이지 농가가 아닌, 위생적이고 혁신적인 스마트팜이에요. 온도, 습도, 일조량, 계분 처리 등을 최첨단으로 관리하여 스트레스를 최소화하고 달걀의 안전도 지키고 있습니다.

・닭에게 무엇을 먹이나요?
유산균을 비롯한 비타민 E, 칼슘 등 영양성분이 뛰어난 사료를 맞춤형으로 제공해요. 항생제와 산란촉진제 등이 포함돼 있지 않은 사료를 급여해 무항생제 인증을 받았어요.

・세척한 달걀인가요?
달걀 껍질에 묻은 분뇨를 세척한 뒤 냉장으로 유통합니다.

・안전한 달걀인지 검사를 하나요?
주기적인 자가품질검사를 통해 농약, 항생제 등이 잔류하지 않는지 테스트하고 있어요.
Kurly’s Tip
산란일과 유통기한
・산란한지 10일 이내의 달걀을 보내드려요. 유통기한은 산란일자로부터 약 한 달간입니다. 단, 보관 상태에 따라 섭취 가능 기한은 달라질 수 있어요.
Kurly’s Note",meat
